Execution beginning
Utils: open the input file 'xinput.txt'
Utils: open succeeded for 'xinput.txt'
File has successfully been read. 
Leave readData. 
Enter doMovingAverage. 
Compute with 'width' and 'tolerance':	5	0.1
	11.09	11.16	11.07	11.37	11.25:	55.94:	11.188	1.0055 
	11.16	11.07	11.37	11.25	11.14:	55.99:	11.198	0.99482 
	11.07	11.37	11.25	11.14	11.78:	56.61:	11.322	1.0405 
	11.37	11.25	11.14	11.78	11.46:	57:	11.4	1.0053 
	11.25	11.14	11.78	11.46	12.35:	57.98:	11.596	1.065 
	11.14	11.78	11.46	12.35	12.45:	59.18:	11.836	1.0519 
	11.78	11.46	12.35	12.45	12.81:	60.85:	12.17	1.0526 
	11.46	12.35	12.45	12.81	12.93:	62:	12.4	1.0427 
	12.35	12.45	12.81	12.93	12.65:	63.19:	12.638	1.0009 
	12.45	12.81	12.93	12.65	12.22:	63.06:	12.612	0.96892 
	12.81	12.93	12.65	12.22	12.68:	63.29:	12.658	1.0017 
	12.93	12.65	12.22	12.68	12.91:	63.39:	12.678	1.0183 
	12.65	12.22	12.68	12.91	12.25:	62.71:	12.542	0.97672 
	12.22	12.68	12.91	12.25	12.86:	62.92:	12.584	1.0219 
	12.68	12.91	12.25	12.86	11.47:	62.17:	12.434	0.92247 
	12.91	12.25	12.86	11.47	11.51:	61:	12.2	0.94344 
	12.25	12.86	11.47	11.51	11.6:	59.69:	11.938	0.97169 
	12.86	11.47	11.51	11.6	11.82:	59.26:	11.852	0.9973 
	11.47	11.51	11.6	11.82	11.76:	58.16:	11.632	1.011 
	11.51	11.6	11.82	11.76	11.46:	58.15:	11.63	0.98538 
	11.6	11.82	11.76	11.46	11.95:	58.59:	11.718	1.0198 
	11.82	11.76	11.46	11.95	11.63:	58.62:	11.724	0.99198 
	11.76	11.46	11.95	11.63	11.44:	58.24:	11.648	0.98214 
	11.46	11.95	11.63	11.44	11.82:	58.3:	11.66	1.0137 
Leave doMovingAverage. 
Enter doMovingAverage. 
Compute with 'width' and 'tolerance':	5	0.05
	10.54	10.47	10.29	10.18	10.15:	51.63:	10.326	0.98296 
	10.47	10.29	10.18	10.15	10.57:	51.66:	10.332	1.023 
	10.29	10.18	10.15	10.57	10.8:	51.99:	10.398	1.0387 
	10.18	10.15	10.57	10.8	10.03:	51.73:	10.346	0.96946 
	10.15	10.57	10.8	10.03	10.53:	52.08:	10.416	1.0109 
	10.57	10.8	10.03	10.53	10.5:	52.43:	10.486	1.0013 
	10.8	10.03	10.53	10.5	9.96:	51.82:	10.364	0.96102 
	10.03	10.53	10.5	9.96	9.75:	50.77:	10.154	0.96021 
	10.53	10.5	9.96	9.75	9.55:	50.29:	10.058	0.94949 BUY.
	10.5	9.96	9.75	9.55	9.89:	49.65:	9.93	0.99597 
	9.96	9.75	9.55	9.89	9.62:	48.77:	9.754	0.98626 
	9.75	9.55	9.89	9.62	9.84:	48.65:	9.73	1.0113 
	9.55	9.89	9.62	9.84	9.16:	48.06:	9.612	0.95298 
	9.89	9.62	9.84	9.16	9.21:	47.72:	9.544	0.965 
	9.62	9.84	9.16	9.21	9.71:	47.54:	9.508	1.0212 
	9.84	9.16	9.21	9.71	9.13:	47.05:	9.41	0.97024 
	9.16	9.21	9.71	9.13	8.09:	45.3:	9.06	0.89294 BUY.
	9.21	9.71	9.13	8.09	8.27:	44.41:	8.882	0.9311 BUY.
	9.71	9.13	8.09	8.27	8:	43.2:	8.64	0.92593 BUY.
	9.13	8.09	8.27	8	8.41:	41.9:	8.38	1.0036 
	8.09	8.27	8	8.41	8.03:	40.8:	8.16	0.98407 
	8.27	8	8.41	8.03	8.71:	41.42:	8.284	1.0514 SELL.
	8	8.41	8.03	8.71	8.94:	42.09:	8.418	1.062 SELL.
	8.41	8.03	8.71	8.94	8.24:	42.33:	8.466	0.9733 
	8.03	8.71	8.94	8.24	8.18:	42.1:	8.42	0.9715 
	8.71	8.94	8.24	8.18	8.32:	42.39:	8.478	0.98136 
	8.94	8.24	8.18	8.32	7.89:	41.57:	8.314	0.949 BUY.
	8.24	8.18	8.32	7.89	7.65:	40.28:	8.056	0.9496 BUY.
	8.18	8.32	7.89	7.65	7.15:	39.19:	7.838	0.91222 BUY.
	8.32	7.89	7.65	7.15	7.68:	38.69:	7.738	0.9925 
	7.89	7.65	7.15	7.68	7.39:	37.76:	7.552	0.97855 
	7.65	7.15	7.68	7.39	7.39:	37.26:	7.452	0.99168 
	7.15	7.68	7.39	7.39	7.5:	37.11:	7.422	1.0105 
	7.68	7.39	7.39	7.5	7.15:	37.11:	7.422	0.96335 
	7.39	7.39	7.5	7.15	7.59:	37.02:	7.404	1.0251 
	7.39	7.5	7.15	7.59	7.85:	37.48:	7.496	1.0472 
	7.5	7.15	7.59	7.85	8.59:	38.68:	7.736	1.1104 SELL.
	7.15	7.59	7.85	8.59	8.96:	40.14:	8.028	1.1161 SELL.
	7.59	7.85	8.59	8.96	8.56:	41.55:	8.31	1.0301 
	7.85	8.59	8.96	8.56	8.15:	42.11:	8.422	0.9677 
	8.59	8.96	8.56	8.15	8.98:	43.24:	8.648	1.0384 
	8.96	8.56	8.15	8.98	8.41:	43.06:	8.612	0.97654 
	8.56	8.15	8.98	8.41	8.14:	42.24:	8.448	0.96354 
	8.15	8.98	8.41	8.14	8.56:	42.24:	8.448	1.0133 
	8.98	8.41	8.14	8.56	8.25:	42.34:	8.468	0.97426 
	8.41	8.14	8.56	8.25	8.49:	41.85:	8.37	1.0143 
	8.14	8.56	8.25	8.49	9.46:	42.9:	8.58	1.1026 SELL.
	8.56	8.25	8.49	9.46	9.96:	44.72:	8.944	1.1136 SELL.
	8.25	8.49	9.46	9.96	9.13:	45.29:	9.058	1.0079 
	8.49	9.46	9.96	9.13	9.2:	46.24:	9.248	0.99481 
	9.46	9.96	9.13	9.2	9.32:	47.07:	9.414	0.99001 
	9.96	9.13	9.2	9.32	9.63:	47.24:	9.448	1.0193 
	9.13	9.2	9.32	9.63	9.13:	46.41:	9.282	0.98362 
	9.2	9.32	9.63	9.13	9.65:	46.93:	9.386	1.0281 
	9.32	9.63	9.13	9.65	9.62:	47.35:	9.47	1.0158 
	9.63	9.13	9.65	9.62	9.8:	47.83:	9.566	1.0245 
	9.13	9.65	9.62	9.8	10.25:	48.45:	9.69	1.0578 SELL.
	9.65	9.62	9.8	10.25	10.48:	49.8:	9.96	1.0522 SELL.
	9.62	9.8	10.25	10.48	10.39:	50.54:	10.108	1.0279 
	9.8	10.25	10.48	10.39	10.2:	51.12:	10.224	0.99765 
	10.25	10.48	10.39	10.2	10.03:	51.35:	10.27	0.97663 
	10.48	10.39	10.2	10.03	10.9:	52:	10.4	1.0481 
	10.39	10.2	10.03	10.9	10.43:	51.95:	10.39	1.0038 
	10.2	10.03	10.9	10.43	10.14:	51.7:	10.34	0.98066 
	10.03	10.9	10.43	10.14	10.95:	52.45:	10.49	1.0439 
	10.9	10.43	10.14	10.95	10.41:	52.83:	10.566	0.98524 
	10.43	10.14	10.95	10.41	11.13:	53.06:	10.612	1.0488 
	10.14	10.95	10.41	11.13	11.89:	54.52:	10.904	1.0904 SELL.
	10.95	10.41	11.13	11.89	11.09:	55.47:	11.094	0.99964 
	10.41	11.13	11.89	11.09	11.16:	55.68:	11.136	1.0022 
	11.13	11.89	11.09	11.16	11.07:	56.34:	11.268	0.98243 
